username,rating,text,date,ct,company
"{'name': 'Monika Tyagi', 'link': 'https://www.google.com/maps/contrib/105297884838428335532?hl=en-US', 'contributor_id': '105297884838428335532', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVJl5jV2M7lGa7KP-dyGPlb7VLzBKWl1q687NEWF9SWF_4mYpVy8A=s120-c-rp-mo-ba2-br100', 'local_guide': True, 'reviews': 15, 'photos': 2}",1.0,"Awful company to work... never recommend any friend to work there. I was working as Gis engineer and then u will not find any growth for yourself in it. It's just about favouritism and for foot licking then u can see growth.
Suggestion is to give employees a bit freedom to work don't bound them with break timings also please hire some educated employees and managers instead of 12th pass employees or graduate managers.",8 years ago,Noida,Cyient Limited
"{'name': 'Md Aasif', 'link': 'https://www.google.com/maps/contrib/109268816731217220494?hl=en-US', 'contributor_id': '109268816731217220494', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVGnoNVPUF3GJ42waIhxuSM05ooOwSKB7MCu6x9EDDAUUTQFSLNSA=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 11, 'photos': 51}",4.0,"Good Company, It's multinational company, it deals in different fields but in delhi, it recruit for GIS Engineers. It is good company in every respect, i.e good working environment, all are cooperative, you never feel stress here. But you want growth & good salary, there is no growth in this company for this profile",7 years ago,Noida,Cyient Limited
"{'name': 'Prakhar Singh', 'link': 'https://www.google.com/maps/contrib/112716086631721457244?hl=en-US', 'contributor_id': '112716086631721457244', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocJmZHDVq5QTI8nvny7Kht_crwK2xa7-3oyzNrGQfultoT3gJ2l6=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 21, 'photos': 43}",5.0,"I went to 3pillar global for my industry visit, from the gl bajaj college, it was good experience to see any industry first time.
3pillar global was pretty cool.",2 years ago,Noida,3Pillar Global Noida
"{'name': 'Rahul Tiwari', 'link': 'https://www.google.com/maps/contrib/108133225365851634351?hl=en-US', 'contributor_id': '108133225365851634351', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXRLbK1n5IEqUVMqUFoVH3JgoGjGYntujdpIFqxUCLiEMy5qYqZ=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 36, 'photos': 20}",5.0,"Talking about the place, Its one of the best workplaces available in Sector 62 Noida. And about the company: From my experience the company is one of the best companies to work for. Best part is Work Flexibility, Time Offs, Leaves, Free lunch and snacks etc. Everything is just phenomenal. These guys are doing really good. Hope they keep up the same spirit.",6 years ago,Noida,3Pillar Global Noida
"{'name': 'Archit Sajjan', 'link': 'https://www.google.com/maps/contrib/101121163451390110771?hl=en-US', 'contributor_id': '101121163451390110771', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXLgbEzWEEObDKcbXkpE78jTPbIQZYUYJ_LWfen3F9JzDrPNekp=s120-c-rp-mo-br100', 'reviews': 3, 'photos': 0}",5.0,"I think it has the best environment to work and pursue your career goals , humble and caring colleagues , a learning and development team to enhance your skills and encourage learning on the go, great support from the talent team towards internal shortcomings, helpful  trainings imparted and the food again is great..",5 years ago,Noida,3Pillar Global Noida
"{'name': 'Vijay Yadav', 'link': 'https://www.google.com/maps/contrib/102823685659643882811?hl=en-US', 'contributor_id': '102823685659643882811', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVcAEYABENeG2tZ5wkwu-a41_Ub_0UuwEMeggJKQ7eeej4txoY=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 33, 'photos': 38}",5.0,I have been working here from last 2 years around and I can say these 2 years are one of the most valuable time for me because I have enjoyed my personal life with professional life in 3Pillar. Proud to be a part of this company.,6 years ago,Noida,3Pillar Global Noida
"{'name': 'V K', 'link': 'https://www.google.com/maps/contrib/114885416051433491140?hl=en-US', 'contributor_id': '114885416051433491140', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUd7KAm-1AYpEIj0zBiZSeN7rGx5s-R6Yx4Uo1ukCVBrRMMehVgNQ=s120-c-rp-mo-ba8-br100', 'local_guide': True, 'reviews': 773, 'photos': 19981}",4.0,"IT consulting firm based out of Candor techspaces in Noida. The office infrastructure is beautiful and state of the art. 3Pillar works with companies in content, data, and information-rich industries. This acute focus on industries enables them to provide clients with domain and product expertise that keeps them steps ahead of the competition. The comoany is highly focussed fir their client and continously excel to or8vide best of the service. They work wide acreoss the industries like Healthcare, Media and entertainment, Information Technology and won several recognitions. Work culture is very good and employees are happy and motivated. Their clientele list includes some of the renowned players in the industry like Fidelity, Blackarrow, Carfax, Equinox, National Geography, sapienza etc. They are one of the most talked and featured company in the media globally. They have offices in London, Boston, USA. Truly a great company.",6 years ago,Noida,3Pillar Global Noida
"{'name': 'Sanjay Singh Rawat', 'link': 'https://www.google.com/maps/contrib/109329685871665342631?hl=en-US', 'contributor_id': '109329685871665342631', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUxEF-PJAHX8Vzr3rLLldkFhS7yShljyKaWxCcFMbMkfHozeIha=s120-c-rp-mo-br100', 'reviews': 2, 'photos': 1}",5.0,"Very good 3 pillar global office
I have interested work for PANTRY BOY job and staff serv water  tea coffee",a year ago,Noida,3Pillar Global Noida
"{'name': 'Ujjwal Sharma', 'link': 'https://www.google.com/maps/contrib/102553341886164421021?hl=en-US', 'contributor_id': '102553341886164421021', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXnoZ8Ux0H2UU5noQH2AtH3yzTtbGWloxtvWmXl3tFvtf1DnPQUnw=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 83, 'photos': 232}",5.0,The place has a awesome work environment. The place looks so nice as the interiors are amazing. Also the office promotes work from home.,5 years ago,Noida,3Pillar Global Noida
"{'name': 'AMIT PRAKASH PANDEY', 'link': 'https://www.google.com/maps/contrib/110759398224797640411?hl=en-US', 'contributor_id': '110759398224797640411', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXCHnagmOXPTXuHjXsh6jsfrvUHsH8ejhLZM974bYVyrV_wNwZq=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 123, 'photos': 1}",5.0,I work here. This is a great place with wonderful environment and all the people here are helpful and friendly. Nice ambience and great facilities for employees.,6 years ago,Noida,3Pillar Global Noida
